 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
35 50 14.2819 2.7659 308.77915612 73.209802299 -7.3501 0.7006 871.054 561.9042 1.011 4.23 350.2996 308.7791561 73.20980229999999 11.625703811645508 10.721973419189453 9.810087203979492 0.9037303924560547 1.8156166076660156 0.9118862152099609
36 52 246.3485 3.739 313.63181127 66.79074850800001 -6.5757 1.458 426.8362 573.0321 0.875 1.51 365.5507 313.6318113 66.79074849999999 9.363119125366211 8.584848403930664 7.759930610656738 0.7782707214355469 1.6031885147094727 0.8249177932739258
37 53 123.9282 4.9935 311.59223282 70.23819085 -5.8724 2.9765 223.3282 612.106 0.69 1.51 368.6794 311.59223280000003 70.2381909 12.029999732971191 10.639405250549316 9.514060974121094 1.390594482421875 2.5159387588500977 1.1253442764282227
38 54 23.8165 2.1599 309.03056889 72.980289644 -7.8739 0.441 1411.066 573.0321 2.736 0.96 353.3134 309.0305689 72.98028959999999 11.367626190185547 8.645666122436523 7.229780673980713 2.7219600677490234 4.137845516204834 1.4158854484558105
39 56 299.9288 2.7995 314.34230942 65.283702166 -6.6308 1.3314 449.0839 550.5515 0.597 1.93 362.8186 314.3423094 65.2837022 9.743132591247559 8.731139183044434 7.774903774261475 1.011993408203125 1.968228816986084 0.956235408782959
40 57 288.1698 2.1814 314.13665663 65.611519125 -7.9268 0.3834 1481.547 523.1044 1.4780000000000002 3.75 363.4442 314.13665660000004 65.6115191 7.378744125366211 7.3797430992126465 7.421432971954346 -0.0009989738464355469 -0.042688846588134766 -0.04168987274169922
41 58 286.2529 13.4199 314.02577412 65.96963581199999 -7.4047 0.6573 915.9765 554.3615 4.812 0.96 364.2103 314.02577410000004 65.9696358 7.853837013244629 7.019243240356445 6.161869525909424 0.8345937728881836 1.691967487335205 0.8573737144470215
42 60 239.3244 8.152 313.36100512 67.054778962 -5.6871 2.9703 188.292 514.9937 0.977 2.51 366.42800000000005 313.36100510000006 67.05477900000001 10.256919860839844 9.584028244018555 8.826072692871094 0.6728916168212891 1.43084716796875 0.7579555511474609
43 61 122.8178 3.0326 311.35033948 70.233712493 -6.6179 1.3566 443.7898 554.3615 0.961 2.52 368.4982 311.3503395 70.2337125 12.029999732971191 10.639405250549316 9.514060974121094 1.390594482421875 2.5159387588500977 1.1253442764282227
44 62 18.4144 5.0523 309.04602934 73.117691614 -7.4459 0.7142 951.3885 625.71 3.303 0.96 351.8806 309.0460293 73.1176916 11.367626190185547 8.645666122436523 7.229780673980713 2.7219600677490234 4.137845516204834 1.4158854484558105
45 64 375.0999 3.9656 315.44248618 63.18440675 -7.2445 0.8505 790.2909 618.9454 2.35 0.96 348.5743 315.44248619999996 63.1844068 9.237831115722656 9.171865463256836 9.081851959228516 0.06596565246582031 0.15597915649414062 0.09001350402832031
46 65 507.0064 1.9484 316.61105606 59.43356622899999 -7.2608 0.6746 802.2989 498.3766 0.488 1.42 360.1675 316.61105610000004 59.4335662 7.573958396911621 7.520239353179932 7.469638824462891 0.05371904373168945 0.10431957244873047 0.050600528717041016
47 68 15.8147 1.509 308.64252444 73.152221535 -6.799 1.0235 524.307 494.135 0.821 0.96 350.7122 308.6425244 73.1522215 11.625703811645508 10.721973419189453 9.810087203979492 0.9037303924560547 1.8156166076660156 0.9118862152099609
48 70 7.8394 2.2663 308.4246551 73.391322452 -7.3489 0.6377 870.1053 510.8901 1.127 1.25 347.7918 308.42465510000005 73.3913225 9.393876075744629 9.067803382873535 8.614533424377441 0.32607269287109375 0.7793426513671875 0.45326995849609375
49 71 10.5126 7.5564 308.29417217 73.489924205 -6.7544 0.9393 503.212 435.2491 4.234 1.51 346.7756 308.2941722 73.4899242 9.393876075744629 9.067803382873535 8.614533424377441 0.32607269287109375 0.7793426513671875 0.45326995849609375
50 72 452.1783 1.0542 316.0466522 60.979319063 -7.2238 0.6678 775.3610000000001 476.7915 1.287 3.73 340.2935 316.0466522 60.9793191 10.171318054199219 9.852227210998535 9.404845237731934 0.3190908432006836 0.7664728164672852 0.44738197326660156
51 74 353.8876 4.8616 315.17141049 63.762773497 -6.3135 1.9716 335.2662 608.6575 0.597 0.96 354.6785 315.1714105 63.7627735 8.430651664733887 7.784004211425781 7.054352760314941 0.6466474533081055 1.3762989044189453 0.7296514511108398
